crsCode,semester,profId
crsCode226374,semester138026,627881
crsCode539379,semester893007,329301
crsCode633673,semester940046,657219
crsCode775354,semester658076,622093
crsCode204323,semester559705,509964
crsCode827726,semester406682,257949
crsCode672732,semester57904,456386
crsCode934190,semester411777,459860
crsCode688291,semester990217,520797
crsCode729699,semester12089,10099
crsCode820709,semester141174,421028
crsCode2035,semester174506,334701
crsCode355746,semester697988,258464
crsCode625366,semester49996,428837
crsCode760451,semester47373,146510
crsCode307688,semester359596,176336
crsCode304836,semester109887,901351
crsCode339923,semester692259,968055
crsCode861775,semester240173,329378
crsCode976858,semester427004,136865
crsCode459486,semester194275,358133
crsCode994907,semester621634,586995
crsCode470386,semester151342,994399
crsCode126971,semester176314,863835
crsCode116341,semester162735,998900
crsCode566023,semester874809,8120
crsCode24440,semester340609,220063
crsCode628212,semester369759,858580
crsCode381174,semester257026,953925
crsCode512000,semester15910,166894
crsCode544232,semester205124,234552
crsCode199003,semester438156,472954
crsCode278894,semester346174,230776
crsCode676803,semester713041,180600
crsCode878175,semester852791,976923
crsCode708733,semester831609,372282
crsCode16206,semester571855,246552
crsCode889594,semester388715,284838
crsCode696655,semester830036,465219
crsCode481182,semester89472,356944
crsCode592057,semester292305,153868
crsCode472885,semester522922,977512
crsCode516290,semester932994,107147
crsCode71857,semester13451,147242
crsCode196829,semester577623,399682
crsCode52283,semester453516,698265
crsCode974990,semester60914,294524
crsCode358002,semester84009,397188
crsCode176229,semester141392,36266
crsCode591789,semester674544,20998
crsCode474892,semester172554,491804
crsCode891880,semester766000,540623
crsCode301407,semester897165,211142
crsCode516290,semester873427,467809
crsCode2638,semester821190,909714
crsCode302513,semester906967,368387
crsCode719794,semester695782,192464
crsCode481655,semester907252,985163
crsCode356851,semester760103,158110
crsCode307652,semester120603,317858
crsCode94407,semester325827,485242
crsCode330729,semester663374,116675
crsCode236025,semester730507,811661
crsCode958007,semester914131,642324
crsCode639195,semester89727,989001
crsCode524680,semester286263,395349
crsCode777624,semester603236,687904
crsCode545986,semester866203,866766
crsCode48585,semester572207,814335
crsCode909211,semester800218,410883
crsCode522537,semester403083,563374
crsCode370851,semester565602,260635
crsCode906178,semester581065,820114
crsCode71964,semester890654,132303
crsCode346727,semester555901,522358
crsCode627699,semester550617,806301
crsCode30958,semester889448,258559
crsCode7242,semester329116,339920
crsCode659243,semester522214,946184
crsCode905997,semester478080,290063
crsCode638677,semester972340,862531
crsCode958327,semester555902,426889
crsCode226999,semester101409,383614
crsCode566103,semester132247,12146
crsCode287834,semester59367,21759
crsCode922160,semester866113,349689
crsCode224906,semester139145,544423
crsCode265930,semester84646,439973
crsCode930589,semester596723,952710
crsCode253878,semester70160,372922
crsCode250176,semester997553,882300
crsCode490995,semester737969,3766
crsCode470635,semester974727,980383
crsCode386383,semester280067,137554
crsCode762021,semester967095,600145
crsCode790683,semester731011,741453
crsCode305082,semester35321,976838
crsCode858621,semester457596,274349
crsCode646533,semester371007,152398
crsCode110137,semester783582,322096
crsCode286354,semester914694,664035
crsCode721338,semester458918,935601
crsCode214665,semester558468,131901
crsCode622683,semester593285,522675
crsCode392497,semester660285,699385
crsCode403076,semester654545,152403
crsCode187743,semester466769,637314
crsCode908637,semester103726,44709
crsCode643282,semester48195,759748
crsCode245230,semester544885,608357
crsCode126978,semester673045,894005
crsCode152395,semester140943,679340
crsCode781784,semester521208,847715
crsCode993427,semester700938,228306
crsCode610978,semester434396,858673
crsCode475529,semester360716,624718
crsCode917133,semester715710,746078
crsCode780159,semester512584,616797
crsCode988175,semester980834,174380
crsCode794693,semester167427,284602
crsCode635394,semester552866,183176
crsCode981046,semester544009,117218
crsCode472009,semester362442,924223
crsCode707499,semester945596,836168
crsCode101139,semester874716,408344
crsCode819930,semester117376,553469
crsCode238041,semester996021,858835
crsCode814864,semester512824,567190
crsCode645430,semester377209,620893
crsCode194663,semester277598,631298
crsCode788868,semester790965,7234
crsCode613937,semester695197,464123
crsCode955609,semester282784,53990
crsCode469483,semester327112,804417
crsCode56996,semester562153,300601
crsCode923720,semester572164,40641
crsCode746962,semester285882,716562
crsCode569547,semester753471,299280
crsCode911443,semester996587,483740
crsCode115589,semester580135,493428
crsCode101320,semester247860,121930
crsCode690513,semester125973,362439
crsCode26754,semester65580,608742
crsCode599767,semester933810,557828
crsCode822713,semester450534,593742
crsCode829664,semester137040,273533
crsCode710104,semester630697,15539
crsCode825914,semester953580,534827
crsCode965739,semester13086,209027
crsCode865057,semester214821,226456
crsCode349437,semester631038,689545
crsCode543611,semester269578,673742
crsCode324643,semester985727,520372
crsCode288106,semester518939,240665
crsCode686631,semester943776,817810
crsCode439659,semester178521,541837
crsCode590628,semester454476,113696
crsCode270008,semester955394,226563
crsCode971223,semester645104,793147
crsCode602257,semester278607,251091
crsCode561019,semester933898,831829
crsCode713709,semester442647,817354
crsCode106915,semester55539,444912
crsCode492894,semester668405,456873
crsCode27605,semester533385,377778
crsCode900297,semester156670,849259
crsCode279476,semester585190,669873
crsCode43700,semester660859,771926
crsCode791392,semester396811,928053
crsCode163932,semester388516,907798
crsCode251955,semester428599,140720
crsCode705937,semester98783,452873
crsCode249910,semester344134,950778
crsCode815020,semester426743,86232
crsCode218052,semester654742,793290
crsCode678049,semester68291,347524
crsCode720328,semester662476,578455
crsCode883873,semester181451,766639
crsCode721767,semester485170,779119
crsCode952026,semester56467,126826
crsCode459450,semester199827,833693
crsCode349892,semester523219,826341
crsCode777362,semester840008,636671
crsCode595700,semester951640,135093
crsCode15051,semester235927,800089
crsCode294840,semester993794,109944
crsCode665366,semester199645,389663
crsCode910633,semester322852,703069
crsCode961281,semester352548,872199
crsCode422399,semester235204,431152
crsCode920794,semester62933,157484
crsCode373986,semester150690,284152
crsCode690594,semester283576,425070
crsCode668362,semester608036,612554
crsCode735711,semester138020,571135
crsCode187522,semester377346,522482
crsCode626689,semester974541,446272
crsCode422171,semester14660,274593
crsCode782076,semester447464,637882
crsCode575089,semester743814,674441
crsCode77924,semester494909,692266
crsCode709022,semester224891,194386
crsCode547639,semester118241,311624
crsCode867296,semester216115,166503
crsCode383418,semester862534,160342
crsCode459819,semester427992,977589
crsCode514376,semester520128,772164
crsCode545983,semester933792,384741
crsCode202085,semester929526,100655
crsCode237726,semester652089,103621
crsCode200725,semester244325,975638
crsCode277751,semester570524,991005
crsCode14305,semester949033,82740
crsCode887186,semester740239,295335
crsCode660331,semester561005,653145
crsCode892807,semester510344,604901
crsCode128630,semester477045,283809
crsCode531925,semester207097,689304
crsCode735829,semester397551,812427
crsCode381174,semester57785,438863
crsCode114921,semester836847,40981
crsCode392324,semester667330,832311
crsCode646411,semester444047,472537
crsCode574247,semester414799,679798
crsCode648937,semester582031,177251
crsCode211399,semester61057,869690
crsCode825085,semester205683,329638
crsCode54638,semester855199,652703
crsCode128746,semester204279,792512
crsCode561672,semester660373,639167
crsCode558786,semester459163,679135
crsCode966858,semester641537,75798
crsCode641344,semester79002,993534
crsCode671505,semester681922,263783
crsCode837791,semester363989,427922
crsCode677549,semester497791,984543
crsCode213029,semester521216,338667
crsCode704122,semester966451,347299
crsCode220022,semester606486,224163
crsCode241954,semester151075,822867
crsCode290069,semester689646,661219
crsCode298091,semester469333,793962
crsCode67777,semester844972,200579
crsCode534264,semester371044,894391
crsCode637361,semester601067,982037
crsCode593692,semester20884,701037
crsCode43376,semester881944,688503
crsCode625101,semester477493,400445
crsCode755486,semester492709,299744
crsCode159500,semester56254,341234
crsCode758405,semester320257,22384
crsCode446296,semester254259,506396
crsCode415725,semester188091,119019
crsCode691638,semester966969,920256
crsCode774050,semester574731,74190
crsCode363866,semester615281,79549
crsCode590163,semester870300,495087
crsCode920558,semester750635,259053
crsCode933574,semester441294,657853
crsCode867621,semester998441,972115
crsCode189927,semester932309,584812
crsCode873432,semester966509,958911
crsCode642800,semester847082,51882
crsCode803715,semester495368,101979
crsCode172071,semester358768,548798
crsCode97376,semester562355,45259
crsCode821704,semester869056,166214
crsCode472111,semester308831,814497
crsCode805246,semester846784,565834
crsCode949909,semester442181,142593
crsCode274,semester544707,717877
crsCode297814,semester44778,775217
crsCode21228,semester74690,270846
crsCode526843,semester292506,975254
crsCode702708,semester984693,802842
crsCode497582,semester498375,9156
crsCode845807,semester256358,462208
crsCode9329,semester679135,112335
crsCode293572,semester474742,877320
crsCode493401,semester618685,952915
crsCode665233,semester471564,353352
crsCode873076,semester765078,650436
crsCode930468,semester653409,654213
crsCode455246,semester803357,91853
crsCode84441,semester529403,952665
crsCode653515,semester692065,585641
crsCode211127,semester622121,904784
crsCode11038,semester958035,168898
crsCode817592,semester470075,464531
crsCode732624,semester675135,667148
crsCode164172,semester378375,376784
crsCode8260,semester916132,492127
crsCode821067,semester962008,60946
crsCode515704,semester608084,328695
crsCode54790,semester717589,806048
crsCode87497,semester61446,961938
crsCode434349,semester177755,666183
crsCode113688,semester42836,406002
crsCode400343,semester224827,721926
crsCode23340,semester105649,425277
crsCode643735,semester317212,698834
crsCode171332,semester282990,450441
crsCode520729,semester391374,751208
crsCode774068,semester507026,805663
crsCode641826,semester75753,330212
crsCode80090,semester223951,746341
crsCode334573,semester114324,786001
crsCode592478,semester928934,260667
crsCode844719,semester947674,185642
crsCode245365,semester677574,477759
crsCode749185,semester147097,261124
crsCode126645,semester161386,262371
crsCode845549,semester846459,423551
crsCode685525,semester185677,505722
crsCode993000,semester475894,369523
crsCode60572,semester912182,90215
crsCode389515,semester794780,393686
crsCode53395,semester134832,210735
crsCode925615,semester918439,261511
crsCode118274,semester948850,867758
crsCode732775,semester235649,139470
crsCode884305,semester241102,347937
crsCode880579,semester933582,697119
crsCode232086,semester858472,947207
crsCode515745,semester257897,358702
crsCode26393,semester190213,75722
crsCode939151,semester75409,443323
crsCode948138,semester51648,769843
crsCode847657,semester810309,493984
crsCode82289,semester334771,321954
crsCode936128,semester162323,154418
crsCode840885,semester133011,919308
crsCode685131,semester68480,490610
crsCode516822,semester633247,488859
crsCode182543,semester224922,3706
crsCode596811,semester154271,426846
crsCode431058,semester444013,640174
crsCode941055,semester632703,111377
crsCode194497,semester768006,496270
crsCode641193,semester273120,395674
crsCode565498,semester30809,781478
crsCode45304,semester979675,718544
crsCode482971,semester263026,842162
crsCode546456,semester570951,747636
crsCode176249,semester919670,495531
crsCode165161,semester159319,241706
crsCode643391,semester802930,702327
crsCode495550,semester167116,538273
crsCode368997,semester412009,515970
crsCode55084,semester299862,649545
crsCode175190,semester500528,776022
crsCode469403,semester247591,348387
crsCode9090,semester932602,969086
crsCode654201,semester613507,163587
crsCode610318,semester633900,333591
crsCode850519,semester462564,132041
crsCode23191,semester670686,549642
crsCode436804,semester336946,357263
crsCode806420,semester617494,8375
crsCode603196,semester867420,655830
crsCode426574,semester509546,306229
crsCode811868,semester83307,846322
crsCode922278,semester283538,676425
crsCode358077,semester414535,533509
crsCode289257,semester47517,408036
crsCode202189,semester931727,442766
crsCode278831,semester574224,943358
crsCode196373,semester728567,17967
crsCode292358,semester272978,209753
crsCode682698,semester803739,16975
crsCode624486,semester479181,558870
crsCode281994,semester421288,808346
crsCode303817,semester164682,752549
crsCode847964,semester95506,650009
crsCode356748,semester613171,197157
crsCode253232,semester501947,248046
crsCode372503,semester880603,714924
crsCode8418,semester470080,926467
crsCode826043,semester872402,223501
crsCode121096,semester279882,307427
crsCode691400,semester880895,172666
crsCode29678,semester739937,200188
crsCode578404,semester964288,751315
crsCode432026,semester691294,882857
crsCode525016,semester362115,848489
crsCode941270,semester733289,167224
crsCode156314,semester450843,41381
crsCode967799,semester720707,816047
crsCode129090,semester505617,356690
crsCode515016,semester530533,24095
crsCode507997,semester717345,640211
crsCode622682,semester925700,450478
crsCode956491,semester856229,782941
crsCode708714,semester168968,722346
crsCode877131,semester472817,204303
crsCode137170,semester610618,612322
crsCode345400,semester456273,125619
crsCode312418,semester80136,269859
crsCode368003,semester941354,738809
crsCode860471,semester719368,89043
crsCode473707,semester229238,667333
crsCode920514,semester4271,567984
crsCode202820,semester534053,278353
crsCode589963,semester838058,530726
crsCode212678,semester15944,327405
crsCode402640,semester158774,646681
crsCode123406,semester440984,496447
crsCode562754,semester706291,173004
crsCode283621,semester906948,895590
crsCode220630,semester12307,877245
crsCode745,semester201936,843107
crsCode877727,semester867997,79798
crsCode151348,semester193336,307313
crsCode374150,semester577501,786775
crsCode899222,semester458515,172185
crsCode641349,semester267331,585783
crsCode70383,semester150135,144907
crsCode181840,semester208077,302647
crsCode231426,semester44313,967846
crsCode962850,semester486130,61706
crsCode236964,semester362848,180689
crsCode906895,semester233133,259005
crsCode116602,semester71278,140496
crsCode522594,semester192102,111660
crsCode509348,semester47826,151485
crsCode40171,semester892565,906179
crsCode163316,semester59502,649791
crsCode320098,semester363032,43128
crsCode796709,semester201719,208382
crsCode521279,semester399000,207255
crsCode281300,semester124453,406465
crsCode933348,semester202364,807141
crsCode334760,semester863154,114616
crsCode936887,semester753286,919599
crsCode828511,semester535048,242459
crsCode725224,semester515409,399777
crsCode981517,semester768751,421205
crsCode98291,semester342227,626134
crsCode516643,semester315292,51206
crsCode85671,semester763801,92603
crsCode462291,semester421901,943285
crsCode477935,semester429598,324837
crsCode305901,semester451947,916120
crsCode680660,semester113585,550829
crsCode824187,semester706866,697759
crsCode538200,semester642516,665137
crsCode472425,semester684645,914328
crsCode153572,semester705218,78303
crsCode531708,semester918707,986099
crsCode956408,semester311547,281959
crsCode531882,semester154530,354430
crsCode448069,semester60060,748459
crsCode607412,semester177894,377649
crsCode782268,semester258323,863408
crsCode945247,semester333561,151698
crsCode293936,semester849644,515912
crsCode526568,semester164239,279905
crsCode256942,semester919711,509620
crsCode963293,semester208197,765445
crsCode712299,semester429452,519119
crsCode156383,semester574380,804540
crsCode830325,semester944970,940935
crsCode26308,semester510204,105508
crsCode994353,semester299009,312544
crsCode722204,semester476325,725953
crsCode391266,semester779629,79049
crsCode39389,semester331189,769381
crsCode784038,semester110346,349039
crsCode361261,semester945243,703078
crsCode529840,semester192630,220817
crsCode276451,semester356797,561155
crsCode82747,semester882843,395795
crsCode920985,semester227283,646114
crsCode367506,semester285675,485853
crsCode347611,semester751068,488130
crsCode527665,semester843505,372428
crsCode962116,semester709064,364016
crsCode804092,semester504532,825331
crsCode659540,semester915698,824524
crsCode495225,semester44807,882725
crsCode485181,semester28563,739110
crsCode188152,semester755647,480183
crsCode351350,semester53617,359704
crsCode913098,semester186350,710786
crsCode243364,semester66560,80092
crsCode230861,semester146981,63093
crsCode431669,semester949758,793124
crsCode254803,semester217539,921524
crsCode369566,semester929078,900961
crsCode799983,semester788210,277692
crsCode49894,semester227569,881299
crsCode925403,semester982851,604379
crsCode626147,semester910346,411991
crsCode282880,semester851435,863609
crsCode426403,semester416493,520223
crsCode631906,semester610689,415261
crsCode23691,semester336553,276936
crsCode482063,semester783920,762164
crsCode611844,semester555429,875003
crsCode720304,semester422976,474589
crsCode284929,semester872168,710433
crsCode627590,semester66474,374528
crsCode339891,semester661045,392285
crsCode430059,semester374435,354501
crsCode256244,semester581426,52732
crsCode310042,semester149255,709068
crsCode908536,semester840289,139857
crsCode902561,semester674505,776596
crsCode919314,semester610902,533816
crsCode668146,semester781032,628181
crsCode936116,semester423414,333490
crsCode664125,semester988094,71279
crsCode967868,semester765618,384717
crsCode492643,semester846692,604965
crsCode269695,semester413122,419011
crsCode419181,semester384788,553881
crsCode218774,semester330632,657458
crsCode20874,semester550958,849922
crsCode580924,semester315641,774256
crsCode997489,semester439832,546194
crsCode700085,semester119652,66393
crsCode827386,semester622042,514565
crsCode862183,semester212462,302581
crsCode959588,semester490536,101058
crsCode265666,semester396847,280865
crsCode909614,semester238021,684720
crsCode190819,semester521395,799314
crsCode90863,semester827242,439084
crsCode579149,semester884059,653817
crsCode355905,semester844251,771573
crsCode240506,semester288790,571135
crsCode572917,semester956832,134401
crsCode489646,semester822899,472032
crsCode385523,semester957307,830104
crsCode846214,semester208769,351928
crsCode882471,semester214623,580567
crsCode873738,semester316486,615868
crsCode124424,semester210813,767296
crsCode379326,semester744886,844705
crsCode829410,semester579686,652825
crsCode677058,semester92600,795653
crsCode738298,semester954460,261511
crsCode486770,semester310124,629310
crsCode173463,semester292819,594022
crsCode799159,semester615086,756656
crsCode795331,semester316215,262081
crsCode384119,semester67666,628685
crsCode224407,semester44793,77230
crsCode5060,semester947932,556478
crsCode981718,semester457594,252787
crsCode639579,semester487142,699945
crsCode171552,semester776918,55897
crsCode48366,semester374388,60956
crsCode905043,semester859170,180507
crsCode214943,semester695737,24525
crsCode760336,semester823464,956968
crsCode266148,semester926709,233164
crsCode19726,semester77990,801389
crsCode761413,semester825993,736669
crsCode298569,semester859175,549162
crsCode714364,semester154390,807040
crsCode708714,semester76666,441719
crsCode941273,semester716996,526580
crsCode569525,semester335957,228950
crsCode638473,semester838294,504407
crsCode269091,semester783541,371316
crsCode426012,semester619870,797954
crsCode293024,semester600442,519467
crsCode904753,semester737002,613907
crsCode568555,semester493211,350835
crsCode689958,semester683286,539271
crsCode61827,semester232564,413922
crsCode225939,semester714890,685405
crsCode220300,semester112701,474589
crsCode797523,semester265170,931812
crsCode856243,semester80498,943784
crsCode894754,semester946784,630255
crsCode617326,semester666500,328695
crsCode77434,semester358044,618976
crsCode23945,semester341450,941256
crsCode155225,semester157718,35558
crsCode51189,semester69206,709942
crsCode663711,semester412096,613567
crsCode683016,semester281384,274273
crsCode269568,semester877891,186803
crsCode558672,semester702296,926938
crsCode550653,semester895053,974831
crsCode434838,semester396142,200408
crsCode561263,semester743546,242886
crsCode199879,semester601817,590029
crsCode293247,semester670829,17179
crsCode873773,semester882596,467408
crsCode619032,semester225271,112040
crsCode649171,semester324952,313400
crsCode957742,semester462954,525322
crsCode90780,semester189772,724600
crsCode434674,semester255663,417562
crsCode139606,semester355301,905257
crsCode306676,semester747590,599493
crsCode910340,semester823071,628674
crsCode630330,semester623291,981183
crsCode818680,semester848939,140387
crsCode982856,semester52797,368685
crsCode246458,semester412702,827688
crsCode795950,semester966441,450260
crsCode468089,semester485654,682137
crsCode377936,semester824162,585858
crsCode44088,semester990024,887813
crsCode505552,semester304423,144474
crsCode205753,semester92759,645287
crsCode276877,semester403164,804250
crsCode759385,semester42738,900896
crsCode501784,semester465044,883647
crsCode206284,semester974348,58080
crsCode914053,semester614917,501832
crsCode878801,semester625788,618047
crsCode748911,semester149101,214461
crsCode544489,semester583430,556068
crsCode429447,semester485734,170325
crsCode774992,semester504103,547737
crsCode852676,semester841497,555008
crsCode908508,semester338539,848313
crsCode163862,semester351577,370712
crsCode23394,semester104076,379210
crsCode447943,semester429210,590792
crsCode928520,semester719682,822415
crsCode780850,semester460804,669711
crsCode605344,semester927408,653795
crsCode556524,semester720345,747125
crsCode140532,semester252694,528121
crsCode528109,semester116342,733552
crsCode275476,semester3772,382283
crsCode938149,semester565141,843385
crsCode164441,semester198394,582500
crsCode263610,semester70504,638752
crsCode240272,semester450576,396554
crsCode85908,semester842095,963494
crsCode361220,semester3379,939680
crsCode804670,semester421978,916971
crsCode919950,semester794751,528957
crsCode692419,semester73373,408957
crsCode449119,semester403644,459207
crsCode53235,semester657103,189105
crsCode958099,semester139101,490437
crsCode995000,semester903985,699143
crsCode185509,semester843243,603767
crsCode649854,semester853999,778575
crsCode828766,semester118524,39569
crsCode752195,semester485069,882479
crsCode643597,semester384121,677897
crsCode422115,semester321409,909670
crsCode306648,semester371839,685691
crsCode530836,semester868270,333308
crsCode806199,semester529767,440363
crsCode858463,semester624843,293375
crsCode389556,semester921869,143597
crsCode557893,semester106394,316818
crsCode715331,semester233860,929429
crsCode72000,semester924046,469870
crsCode777654,semester208750,370271
crsCode448750,semester101616,64789
crsCode49523,semester95700,636931
crsCode868530,semester297834,562242
crsCode659093,semester212411,695530
crsCode511154,semester818579,137144
crsCode905538,semester587476,92171
crsCode589584,semester589138,155838
crsCode818729,semester701304,926193
crsCode580505,semester373626,574638
crsCode693671,semester650336,94072
crsCode602041,semester530356,765232
crsCode78791,semester479620,601026
crsCode464990,semester334175,673423
crsCode332484,semester132862,940979
crsCode796750,semester271089,909876
crsCode126897,semester684344,251797
crsCode182452,semester523593,101257
crsCode819774,semester192956,361397
crsCode505490,semester362876,316839
crsCode943379,semester584214,63905
crsCode651984,semester344320,736225
crsCode718598,semester669500,959134
crsCode674102,semester713433,703790
crsCode682599,semester103969,24615
crsCode878791,semester266390,759730
crsCode461541,semester665113,964503
crsCode790894,semester558461,914298
crsCode439361,semester839762,166638
crsCode709251,semester541589,515561
crsCode369218,semester689578,146561
crsCode708083,semester855237,171142
crsCode183947,semester977906,330246
crsCode840885,semester342160,510482
crsCode863609,semester78316,607268
crsCode503835,semester65437,591269
crsCode940605,semester867018,495749
crsCode428921,semester492946,885208
crsCode920247,semester289988,544433
crsCode964507,semester600823,263331
crsCode991412,semester410431,510062
crsCode775806,semester691301,711826
crsCode416805,semester357546,422521
crsCode358463,semester105581,922909
crsCode826232,semester101892,80080
crsCode50704,semester480072,897844
crsCode4836,semester551018,773660
crsCode993601,semester511676,414531
crsCode788879,semester138735,910616
crsCode605636,semester230841,647332
crsCode117077,semester415117,672344
crsCode914073,semester900582,411043
crsCode215248,semester883125,548676
crsCode898359,semester869474,852811
crsCode902767,semester128925,163386
crsCode167821,semester756203,437472
crsCode60771,semester641209,978705
crsCode824202,semester270571,230637
crsCode239972,semester553805,520552
crsCode566703,semester108396,784804
crsCode411501,semester97415,125188
crsCode31666,semester924964,781386
crsCode814319,semester630463,868475
crsCode460968,semester715173,529360
crsCode473510,semester324199,137443
crsCode341742,semester211862,101771
crsCode396482,semester894312,297909
crsCode38567,semester35917,385136
crsCode823718,semester581332,532341
crsCode966936,semester875501,49873
crsCode563275,semester474647,224158
crsCode106600,semester719572,332627
crsCode391337,semester870227,966017
crsCode815407,semester358092,289560
crsCode194805,semester141788,929072
crsCode789194,semester989953,806170
crsCode198367,semester824489,679887
crsCode734566,semester634741,783642
crsCode547029,semester901260,566518
crsCode799518,semester16558,412827
crsCode715611,semester374381,827315
crsCode473671,semester405339,734005
crsCode601233,semester971497,953675
crsCode529862,semester516586,417531
crsCode155894,semester647941,791410
crsCode43256,semester29326,279987
crsCode238070,semester997734,570693
crsCode834773,semester662194,653991
crsCode65816,semester423348,522132
crsCode320966,semester823179,513555
crsCode70038,semester903248,236217
crsCode30796,semester491092,165790
crsCode691111,semester700504,732916
crsCode563903,semester627750,792305
crsCode294279,semester612433,622003
crsCode438377,semester633641,243569
crsCode383207,semester552761,3050
crsCode90557,semester929756,742253
crsCode687598,semester443607,411326
crsCode965757,semester507637,119065
crsCode801670,semester875141,837481
crsCode937534,semester439169,641616
crsCode754127,semester786074,95502
crsCode802442,semester547877,55156
crsCode752120,semester640992,590548
crsCode283394,semester12683,263268
crsCode596537,semester299074,810841
crsCode114651,semester237804,37151
crsCode346364,semester20384,239233
crsCode874124,semester768642,728025
crsCode882712,semester18800,139110
crsCode46860,semester204675,147799
crsCode588021,semester150111,233065
crsCode81638,semester289293,461543
crsCode734376,semester917532,315058
crsCode756060,semester124932,625715
crsCode270465,semester757681,972715
crsCode332213,semester187617,47603
crsCode262927,semester849124,736048
crsCode656785,semester77483,631611
crsCode718710,semester606077,678458
crsCode970315,semester313105,172892
crsCode678227,semester884717,628191
crsCode253268,semester511345,634315
crsCode765678,semester716401,858600
crsCode246540,semester403701,200211
crsCode209214,semester105514,43712
crsCode883458,semester648845,296871
crsCode834252,semester788309,376096
crsCode778610,semester272064,121592
crsCode675342,semester512002,531007
crsCode264073,semester302480,563312
crsCode271914,semester70984,400747
crsCode334884,semester53226,772012
crsCode358131,semester457686,172469
crsCode407525,semester440292,655141
crsCode212614,semester840849,978585
crsCode329236,semester154302,983210
crsCode979131,semester361513,251713
crsCode332784,semester493418,677223
crsCode268775,semester164054,713992
crsCode590258,semester131914,844955
crsCode294006,semester239649,582565
crsCode636414,semester360438,801269
crsCode401646,semester248624,322986
crsCode471603,semester665577,758417
crsCode57615,semester495602,372282
crsCode684299,semester178480,495698
crsCode301996,semester225191,377905
crsCode622857,semester389367,455120
crsCode212839,semester719971,879466
crsCode678457,semester472401,718444
crsCode908369,semester82946,920186
crsCode684187,semester585560,92458
crsCode341364,semester271408,928431
crsCode819398,semester391295,118621
crsCode100340,semester838846,342311
crsCode609650,semester938093,136943
crsCode923923,semester552343,936249
crsCode963396,semester200974,219511
crsCode730073,semester533799,678851
crsCode565207,semester548381,386599
crsCode779324,semester584375,606343
crsCode647904,semester935068,990469
crsCode163883,semester798923,90635
crsCode627888,semester942532,409732
crsCode526137,semester953050,981627
crsCode573883,semester183824,730939
crsCode725263,semester918803,229381
crsCode722420,semester105538,404041
crsCode933821,semester108444,607909
crsCode742206,semester31863,831883
crsCode744422,semester343029,872339
crsCode648228,semester869546,913798
crsCode290890,semester46060,444343
crsCode332791,semester970371,796361
crsCode478785,semester148557,797943
crsCode86616,semester794701,301186
crsCode165648,semester572600,742918
crsCode890399,semester250474,735288
crsCode429730,semester945682,67932
crsCode245073,semester106603,546486
crsCode55564,semester90414,302791
crsCode497742,semester29024,967174
crsCode268248,semester930348,574377
crsCode199620,semester422463,958530
crsCode17425,semester210790,20409
crsCode189547,semester783865,373354
crsCode894572,semester283562,764222
crsCode339838,semester257132,427890
crsCode266695,semester135843,844530
crsCode399169,semester490919,758626
crsCode958787,semester180506,305161
crsCode649151,semester933135,605976
crsCode670777,semester212993,485033
crsCode430611,semester105811,173725
crsCode447782,semester687673,197958
crsCode861177,semester718890,296160
crsCode260715,semester491953,948861
crsCode702268,semester42594,524925
crsCode769638,semester849106,692530
crsCode996471,semester378610,782999
crsCode116706,semester791911,998689
