crsCode245392,deptId35527,crsName988277,descr526335
crsCode656540,deptId872992,crsName490452,descr552560
crsCode47084,deptId558408,crsName620761,descr999120
crsCode148900,deptId951376,crsName602823,descr141698
crsCode483411,deptId966146,crsName342284,descr64720
crsCode133941,deptId39669,crsName513856,descr75390
crsCode667925,deptId553261,crsName219487,descr49083
crsCode954461,deptId77089,crsName676641,descr425332
crsCode822780,deptId215959,crsName335672,descr233091
crsCode850930,deptId780140,crsName566309,descr522245
crsCode741307,deptId885232,crsName771448,descr428234
crsCode780501,deptId21101,crsName301858,descr295269
crsCode634608,deptId330633,crsName750072,descr782434
crsCode678066,deptId906561,crsName885126,descr641623
crsCode684772,deptId280533,crsName547790,descr48787
crsCode21820,deptId766339,crsName391004,descr973620
crsCode436039,deptId791403,crsName251527,descr308437
crsCode240051,deptId8785,crsName112966,descr672676
crsCode312502,deptId570241,crsName988268,descr83153
crsCode869279,deptId207117,crsName216321,descr277730
crsCode593207,deptId20722,crsName367807,descr939875
crsCode493075,deptId741337,crsName334118,descr395515
crsCode104761,deptId972601,crsName230652,descr106266
crsCode47597,deptId714329,crsName890149,descr268943
crsCode705815,deptId778675,crsName763034,descr171190
crsCode193042,deptId277620,crsName904713,descr167950
crsCode579859,deptId978785,crsName421193,descr473513
crsCode419188,deptId809363,crsName378809,descr443132
crsCode488092,deptId891363,crsName937012,descr365910
crsCode555277,deptId548448,crsName772018,descr724526
crsCode972042,deptId509,crsName858494,descr91349
crsCode291683,deptId162824,crsName216783,descr994442
crsCode781534,deptId937813,crsName768198,descr588908
crsCode408068,deptId949113,crsName666499,descr901002
crsCode21061,deptId161650,crsName854436,descr634455
crsCode228873,deptId357860,crsName187804,descr234489
crsCode107604,deptId647614,crsName59371,descr838528
crsCode144084,deptId906619,crsName250815,descr252916
crsCode7946,deptId977477,crsName844711,descr755527
crsCode650195,deptId925044,crsName110384,descr152873
crsCode98002,deptId770099,crsName24734,descr463930
crsCode735868,deptId314883,crsName187721,descr87643
crsCode264448,deptId947353,crsName734161,descr665117
crsCode734545,deptId314083,crsName572735,descr459419
crsCode214161,deptId810985,crsName324985,descr325796
crsCode344923,deptId775118,crsName600034,descr358800
crsCode646957,deptId448245,crsName358860,descr140532
crsCode746545,deptId116544,crsName398298,descr286768
crsCode998886,deptId524659,crsName625271,descr64037
crsCode859440,deptId5495,crsName12013,descr560324
crsCode780664,deptId860219,crsName151715,descr377346
crsCode206401,deptId815861,crsName690294,descr119207
crsCode170249,deptId914310,crsName409906,descr805190
crsCode403095,deptId197244,crsName281453,descr98311
crsCode757544,deptId856881,crsName471808,descr353568
crsCode410480,deptId735120,crsName429283,descr384546
crsCode804111,deptId337208,crsName90724,descr382255
crsCode310033,deptId357688,crsName412164,descr438026
crsCode195490,deptId377146,crsName426094,descr280071
crsCode138509,deptId364221,crsName985044,descr631201
crsCode526383,deptId889019,crsName760872,descr370410
crsCode677308,deptId610153,crsName275956,descr573021
crsCode658861,deptId109725,crsName483607,descr745359
crsCode188805,deptId118985,crsName36573,descr821956
crsCode415807,deptId46565,crsName78393,descr491550
crsCode855638,deptId167659,crsName6434,descr495857
crsCode900272,deptId944764,crsName256391,descr255666
crsCode541288,deptId684576,crsName486959,descr55565
crsCode985846,deptId328107,crsName602161,descr981973
crsCode574974,deptId568251,crsName573901,descr220822
crsCode18546,deptId965853,crsName397926,descr3910
crsCode629604,deptId352079,crsName445277,descr858650
crsCode433579,deptId594272,crsName126475,descr479606
crsCode676721,deptId754612,crsName692698,descr812668
crsCode799896,deptId498788,crsName342657,descr506566
crsCode878407,deptId529858,crsName734874,descr231726
crsCode200597,deptId457849,crsName111393,descr890826
crsCode309200,deptId974803,crsName730315,descr935605
crsCode79081,deptId22677,crsName160960,descr971208
crsCode49088,deptId162117,crsName774711,descr817256
crsCode259272,deptId167372,crsName209517,descr443897
crsCode979863,deptId344950,crsName674946,descr314609
crsCode711181,deptId547541,crsName191216,descr775623
crsCode455326,deptId76229,crsName969576,descr984585
crsCode492989,deptId305355,crsName982859,descr254797
crsCode866470,deptId276183,crsName23618,descr626751
crsCode601736,deptId463657,crsName432442,descr990106
crsCode719118,deptId602256,crsName648575,descr235826
crsCode678345,deptId826188,crsName166772,descr66861
crsCode882300,deptId479317,crsName774893,descr949522
crsCode578691,deptId790389,crsName872041,descr738617
crsCode452256,deptId875216,crsName207535,descr175010
crsCode925027,deptId836484,crsName930883,descr944418
crsCode697910,deptId680683,crsName679173,descr254584
crsCode753538,deptId564669,crsName186535,descr72254
crsCode406530,deptId807251,crsName523977,descr317243
crsCode561570,deptId391622,crsName974195,descr767701
crsCode734355,deptId962294,crsName901358,descr175524
crsCode759214,deptId45607,crsName829759,descr219553
crsCode859714,deptId332997,crsName329537,descr852797
crsCode809788,deptId27976,crsName875038,descr90638
crsCode104882,deptId758194,crsName729066,descr142116
crsCode228172,deptId151797,crsName393884,descr399994
crsCode914895,deptId467827,crsName938985,descr672136
crsCode363463,deptId980957,crsName372991,descr303478
crsCode163729,deptId645628,crsName288411,descr342058
crsCode25538,deptId837070,crsName810247,descr192578
crsCode574839,deptId197064,crsName370099,descr188510
crsCode988603,deptId73467,crsName869167,descr207444
crsCode897230,deptId646225,crsName805891,descr762759
crsCode244504,deptId628470,crsName370028,descr747410
crsCode461738,deptId510355,crsName446323,descr424157
crsCode937260,deptId57909,crsName439914,descr561298
crsCode74025,deptId459788,crsName374918,descr221610
crsCode384180,deptId519312,crsName808148,descr345057
crsCode916661,deptId151806,crsName919898,descr122248
crsCode164883,deptId72768,crsName261323,descr56377
crsCode229504,deptId185835,crsName285349,descr935140
crsCode811740,deptId888610,crsName917547,descr784392
crsCode476423,deptId363928,crsName302074,descr739582
crsCode950406,deptId712946,crsName965067,descr348847
crsCode12304,deptId442570,crsName452868,descr819430
crsCode867126,deptId610448,crsName548219,descr590784
crsCode818478,deptId454155,crsName278024,descr209536
crsCode872891,deptId626109,crsName630213,descr733119
crsCode775226,deptId533093,crsName715684,descr428480
crsCode806794,deptId119262,crsName36462,descr620002
crsCode364313,deptId916389,crsName487700,descr588462
crsCode747400,deptId137720,crsName640627,descr794257
crsCode745594,deptId597785,crsName473449,descr111907
crsCode719294,deptId434546,crsName536654,descr242469
crsCode890134,deptId514642,crsName37394,descr700490
crsCode633956,deptId107861,crsName370801,descr397868
crsCode882928,deptId700450,crsName563221,descr942367
crsCode416408,deptId169102,crsName813896,descr523171
crsCode109845,deptId770335,crsName970707,descr381043
crsCode845861,deptId68139,crsName220600,descr678906
crsCode369947,deptId973022,crsName621897,descr834021
crsCode174463,deptId684441,crsName678948,descr454483
crsCode739171,deptId714744,crsName616204,descr816106
crsCode682243,deptId812524,crsName670884,descr646019
crsCode782807,deptId769863,crsName408266,descr464389
crsCode456889,deptId773719,crsName45517,descr104719
crsCode394926,deptId442793,crsName200525,descr515599
crsCode167379,deptId68719,crsName524206,descr543088
crsCode79398,deptId312764,crsName501048,descr777200
crsCode463405,deptId712235,crsName402318,descr324879
crsCode31046,deptId38816,crsName608073,descr257827
crsCode296205,deptId263846,crsName71409,descr202505
crsCode677027,deptId774200,crsName777239,descr132982
crsCode764257,deptId346779,crsName36242,descr774827
crsCode941785,deptId413928,crsName941140,descr154375
crsCode163205,deptId752872,crsName730408,descr110134
crsCode467471,deptId832471,crsName698122,descr234375
crsCode475900,deptId740235,crsName410083,descr947548
crsCode390006,deptId458670,crsName78239,descr430586
crsCode412148,deptId814439,crsName385069,descr158336
crsCode880648,deptId446616,crsName523282,descr896373
crsCode240005,deptId13504,crsName1898,descr210874
crsCode51018,deptId766592,crsName855293,descr878238
crsCode27568,deptId328122,crsName581498,descr483408
crsCode37644,deptId149781,crsName345747,descr661103
crsCode654945,deptId283229,crsName424244,descr960126
crsCode137125,deptId714504,crsName227489,descr350067
crsCode163630,deptId506643,crsName231339,descr399982
crsCode911609,deptId572811,crsName908494,descr160391
crsCode934551,deptId373544,crsName748266,descr35328
crsCode716917,deptId60436,crsName327324,descr831066
crsCode805830,deptId626313,crsName524985,descr727171
crsCode664591,deptId722199,crsName517158,descr876332
crsCode61198,deptId491205,crsName461911,descr74745
crsCode156424,deptId717647,crsName518498,descr394258
crsCode735662,deptId321998,crsName511551,descr424343
crsCode500523,deptId113142,crsName5727,descr265072
crsCode655501,deptId473465,crsName467429,descr634818
crsCode519757,deptId247816,crsName102981,descr866749
crsCode172029,deptId909689,crsName51960,descr703954
crsCode297101,deptId441924,crsName393625,descr184898
crsCode185977,deptId317863,crsName747103,descr169938
crsCode728979,deptId964138,crsName555448,descr510299
crsCode661096,deptId881277,crsName369598,descr535869
crsCode680338,deptId640189,crsName579992,descr917427
crsCode162650,deptId894165,crsName197040,descr894914
crsCode513607,deptId955073,crsName651532,descr447564
crsCode970439,deptId678318,crsName104587,descr714049
crsCode644473,deptId867965,crsName422654,descr654133
crsCode320021,deptId962407,crsName672737,descr234572
crsCode495097,deptId53755,crsName589557,descr978193
crsCode980880,deptId311106,crsName125371,descr945638
crsCode279457,deptId349955,crsName93199,descr2070
crsCode502258,deptId113314,crsName11358,descr854086
crsCode956502,deptId674787,crsName861189,descr577867
crsCode73690,deptId220684,crsName196423,descr489621
crsCode555528,deptId937,crsName961003,descr279496
crsCode834326,deptId620777,crsName620016,descr552811
crsCode868143,deptId638118,crsName130734,descr597113
crsCode781083,deptId12098,crsName759243,descr30549
crsCode880269,deptId486636,crsName770262,descr347995
crsCode797257,deptId597186,crsName875203,descr306066
crsCode650608,deptId421521,crsName456835,descr711165
crsCode939497,deptId263735,crsName921984,descr23632
crsCode446510,deptId760554,crsName392114,descr820672
crsCode369584,deptId157329,crsName155041,descr610291
crsCode27368,deptId56016,crsName250551,descr781399
crsCode626492,deptId462753,crsName303873,descr134735
crsCode795593,deptId308317,crsName755842,descr324167
crsCode660371,deptId520347,crsName131572,descr994344
crsCode764998,deptId331247,crsName202012,descr470503
crsCode902184,deptId300692,crsName924424,descr524472
crsCode323486,deptId456740,crsName48488,descr592097
crsCode35800,deptId536899,crsName501063,descr208617
crsCode460505,deptId881436,crsName24036,descr177263
crsCode338278,deptId121091,crsName819761,descr792726
crsCode477835,deptId15290,crsName365159,descr358558
crsCode743044,deptId182031,crsName717572,descr565774
crsCode660879,deptId11683,crsName855907,descr695053
crsCode842700,deptId403845,crsName88950,descr467025
crsCode435405,deptId930748,crsName419169,descr276783
crsCode520512,deptId595555,crsName740790,descr464592
crsCode19958,deptId577071,crsName81033,descr836356
crsCode151887,deptId649485,crsName278128,descr880368
crsCode462404,deptId637542,crsName941785,descr933155
crsCode194705,deptId213892,crsName530376,descr50887
crsCode552253,deptId65230,crsName980011,descr914483
crsCode913543,deptId427695,crsName227035,descr253085
crsCode5295,deptId820693,crsName384177,descr792685
crsCode109086,deptId88086,crsName392451,descr403308
crsCode496051,deptId773101,crsName361786,descr132059
crsCode833450,deptId400737,crsName478481,descr671137
crsCode260203,deptId917574,crsName195052,descr855260
crsCode323245,deptId386333,crsName521491,descr972504
crsCode554565,deptId813782,crsName852617,descr535069
crsCode256655,deptId180727,crsName568141,descr190242
crsCode592119,deptId882644,crsName864876,descr666016
crsCode260773,deptId721342,crsName781313,descr370562
crsCode285635,deptId389817,crsName498443,descr847096
crsCode111020,deptId645604,crsName455273,descr434667
crsCode588146,deptId701437,crsName758900,descr102859
crsCode296652,deptId722557,crsName326585,descr595524
crsCode699610,deptId614367,crsName912849,descr420878
crsCode259863,deptId693183,crsName546015,descr374435
crsCode465370,deptId468829,crsName501286,descr6156
crsCode384265,deptId751744,crsName203205,descr235349
crsCode512346,deptId999991,crsName786320,descr167391
crsCode449863,deptId610619,crsName853835,descr293524
crsCode908494,deptId292400,crsName746693,descr848181
crsCode398690,deptId694858,crsName336207,descr354063
crsCode371121,deptId409357,crsName149016,descr382924
crsCode191827,deptId296876,crsName170470,descr374629
crsCode192076,deptId94099,crsName163571,descr889397
crsCode947006,deptId215808,crsName883490,descr215465
crsCode340334,deptId682252,crsName911900,descr101972
crsCode306096,deptId257352,crsName762699,descr752991
crsCode528242,deptId763778,crsName462067,descr637085
crsCode260323,deptId695911,crsName73128,descr256253
crsCode608510,deptId383874,crsName81904,descr932569
crsCode88119,deptId735587,crsName948469,descr75883
crsCode301952,deptId545051,crsName72231,descr344286
crsCode104120,deptId692131,crsName728044,descr107650
crsCode576113,deptId303516,crsName721541,descr358170
crsCode724380,deptId773873,crsName227774,descr325584
crsCode40020,deptId783448,crsName40337,descr779337
crsCode423171,deptId206776,crsName690457,descr597202
crsCode314933,deptId923173,crsName757806,descr361145
crsCode368631,deptId342214,crsName5153,descr69817
crsCode903339,deptId757272,crsName752469,descr425677
crsCode46635,deptId147339,crsName451448,descr140837
crsCode78360,deptId37706,crsName165149,descr322742
crsCode217726,deptId422104,crsName928568,descr573868
crsCode421157,deptId946582,crsName893109,descr731195
crsCode100727,deptId658145,crsName710965,descr133267
crsCode947977,deptId62744,crsName205669,descr763698
crsCode673416,deptId573563,crsName270525,descr105363
crsCode671617,deptId620782,crsName113618,descr661444
crsCode745420,deptId378909,crsName882713,descr619477
crsCode4886,deptId280826,crsName993145,descr302060
crsCode736650,deptId581027,crsName667083,descr535414
crsCode408860,deptId5598,crsName50737,descr368760
crsCode886066,deptId471942,crsName240016,descr982723
crsCode49262,deptId722047,crsName518443,descr290822
crsCode44316,deptId932004,crsName767965,descr635966
crsCode657589,deptId520899,crsName682867,descr653320
crsCode54670,deptId476542,crsName197284,descr837142
crsCode220384,deptId671506,crsName399469,descr417280
crsCode789620,deptId564020,crsName84173,descr566066
crsCode631659,deptId190103,crsName209882,descr155524
crsCode722727,deptId345226,crsName779455,descr569511
crsCode707610,deptId110847,crsName849491,descr279226
crsCode775977,deptId728423,crsName66518,descr845308
crsCode919292,deptId389048,crsName676618,descr213917
crsCode309221,deptId11216,crsName842924,descr714797
crsCode639466,deptId638707,crsName483278,descr856694
crsCode620145,deptId246513,crsName639506,descr761573
crsCode788039,deptId874979,crsName293381,descr717026
crsCode142220,deptId198099,crsName188053,descr293378
crsCode475583,deptId239291,crsName496,descr290258
crsCode63586,deptId330150,crsName835003,descr285844
crsCode522825,deptId456307,crsName226156,descr428934
crsCode928581,deptId530233,crsName391877,descr709341
crsCode697767,deptId571268,crsName754798,descr103185
crsCode633267,deptId369660,crsName269933,descr601298
crsCode777571,deptId436582,crsName100740,descr858776
crsCode928212,deptId331204,crsName759271,descr243096
crsCode637842,deptId666008,crsName989848,descr379986
crsCode901755,deptId668423,crsName978145,descr610311
crsCode981074,deptId549592,crsName793773,descr320968
crsCode834914,deptId459803,crsName570564,descr414122
crsCode791052,deptId318374,crsName910818,descr198742
crsCode362352,deptId687035,crsName827826,descr268413
crsCode395572,deptId326277,crsName85420,descr893160
crsCode14644,deptId312641,crsName674504,descr21613
crsCode416518,deptId349946,crsName728861,descr342653
crsCode780136,deptId296237,crsName874523,descr301595
crsCode348873,deptId541515,crsName259553,descr52967
crsCode910448,deptId764572,crsName666492,descr978776
crsCode809677,deptId57152,crsName39869,descr853257
crsCode587162,deptId401808,crsName812278,descr643114
crsCode882158,deptId848420,crsName222737,descr958679
crsCode745118,deptId525422,crsName442828,descr777797
crsCode110160,deptId223876,crsName998612,descr603929
crsCode532061,deptId156667,crsName392765,descr11923
crsCode370530,deptId793838,crsName362140,descr667879
crsCode366948,deptId916574,crsName727170,descr221036
crsCode190109,deptId393076,crsName227861,descr172141
crsCode639399,deptId185313,crsName684044,descr488670
crsCode2116,deptId835558,crsName841030,descr746281
crsCode431624,deptId927984,crsName552712,descr252005
crsCode587940,deptId2459,crsName312594,descr669288
crsCode528975,deptId450647,crsName715228,descr351347
crsCode832850,deptId401768,crsName679346,descr237132
crsCode89201,deptId366407,crsName5417,descr525161
crsCode447345,deptId213030,crsName626109,descr711880
crsCode696011,deptId198673,crsName604169,descr859547
crsCode109995,deptId799152,crsName190625,descr538145
crsCode209125,deptId540649,crsName437263,descr60944
crsCode782837,deptId384930,crsName400105,descr803950
crsCode93297,deptId117092,crsName103435,descr449088
crsCode356045,deptId399131,crsName380983,descr225177
crsCode308810,deptId29497,crsName876549,descr981395
crsCode322493,deptId451067,crsName239944,descr638044
crsCode423480,deptId212164,crsName789055,descr604264
crsCode680599,deptId493861,crsName525109,descr268036
crsCode771241,deptId596094,crsName938870,descr996363
crsCode991032,deptId852093,crsName26414,descr489969
crsCode224375,deptId961541,crsName85471,descr898748
crsCode488263,deptId51819,crsName332222,descr713811
crsCode964581,deptId921754,crsName256683,descr762991
crsCode960308,deptId574102,crsName859596,descr145838
crsCode995427,deptId596829,crsName191109,descr672070
crsCode275643,deptId702634,crsName789589,descr377750
crsCode401800,deptId964819,crsName505616,descr46680
crsCode202977,deptId727122,crsName629877,descr925555
crsCode444757,deptId77024,crsName290795,descr280174
crsCode623539,deptId922813,crsName93085,descr326206
crsCode647926,deptId875725,crsName689135,descr195200
crsCode54731,deptId333148,crsName129883,descr630274
crsCode977537,deptId930178,crsName279469,descr514363
crsCode557580,deptId173730,crsName272215,descr695131
crsCode240310,deptId597452,crsName214129,descr432445
crsCode691619,deptId667138,crsName615953,descr621690
crsCode541311,deptId70040,crsName386884,descr294103
crsCode386886,deptId378292,crsName948326,descr494366
crsCode365679,deptId726261,crsName931939,descr258058
crsCode122486,deptId881649,crsName762186,descr20763
crsCode200261,deptId55894,crsName793483,descr675466
crsCode223230,deptId876658,crsName124301,descr559127
crsCode523175,deptId470989,crsName164462,descr397438
crsCode730419,deptId712948,crsName49944,descr73671
crsCode41129,deptId291345,crsName761404,descr506173
crsCode711987,deptId218165,crsName931566,descr360886
crsCode953349,deptId772920,crsName468189,descr68561
crsCode195624,deptId159352,crsName917933,descr898047
crsCode753570,deptId757629,crsName949107,descr674359
crsCode919172,deptId377341,crsName614796,descr31821
crsCode509776,deptId421051,crsName897627,descr464541
crsCode954052,deptId89673,crsName555677,descr562657
crsCode353351,deptId486319,crsName593642,descr991139
crsCode418735,deptId74724,crsName683594,descr736716
crsCode174957,deptId97401,crsName393585,descr345690
crsCode740246,deptId61525,crsName668953,descr193776
crsCode780174,deptId788699,crsName167098,descr912263
crsCode142355,deptId113960,crsName220649,descr390210
crsCode253476,deptId896312,crsName250570,descr479968
crsCode397964,deptId532840,crsName965747,descr450379
crsCode743886,deptId90390,crsName285919,descr717261
crsCode483374,deptId190436,crsName919372,descr46050
crsCode956954,deptId92316,crsName481522,descr985640
crsCode379700,deptId906413,crsName211104,descr803251
crsCode645501,deptId548564,crsName835892,descr354813
crsCode638815,deptId726614,crsName713142,descr508730
crsCode253718,deptId278825,crsName423121,descr154954
crsCode246013,deptId430771,crsName759472,descr283720
crsCode590513,deptId271082,crsName767921,descr798207
crsCode324836,deptId480218,crsName245577,descr745469
crsCode988608,deptId41221,crsName527284,descr972735
crsCode876661,deptId655332,crsName638422,descr748107
crsCode938849,deptId246028,crsName883699,descr985373
crsCode689499,deptId738604,crsName334856,descr783161
crsCode403996,deptId28403,crsName358468,descr781343
crsCode609803,deptId590542,crsName866854,descr163549
crsCode274660,deptId33359,crsName644660,descr550526
crsCode783684,deptId103657,crsName939669,descr893728
crsCode809299,deptId262807,crsName745868,descr433251
crsCode436046,deptId110877,crsName888785,descr637694
crsCode563888,deptId29351,crsName163278,descr705899
crsCode25020,deptId422349,crsName488947,descr298115
crsCode141034,deptId392888,crsName655734,descr608164
crsCode630571,deptId624030,crsName31338,descr86926
crsCode968027,deptId457129,crsName282747,descr353229
crsCode600899,deptId190902,crsName792068,descr614033
crsCode680519,deptId822712,crsName572813,descr573977
crsCode266802,deptId573437,crsName380900,descr843918
crsCode882332,deptId119433,crsName933334,descr688812
crsCode45750,deptId435166,crsName747978,descr470491
crsCode635122,deptId426141,crsName665275,descr712220
crsCode129105,deptId88326,crsName185744,descr455454
crsCode604938,deptId128860,crsName93146,descr312945
crsCode589268,deptId143908,crsName295401,descr256018
crsCode755473,deptId325835,crsName198539,descr214628
crsCode497239,deptId704743,crsName175651,descr294912
crsCode45083,deptId589782,crsName701665,descr725475
crsCode605436,deptId639683,crsName564387,descr165446
crsCode50857,deptId670023,crsName926760,descr144139
crsCode512817,deptId213547,crsName936045,descr171475
crsCode586022,deptId123596,crsName981158,descr214828
crsCode337324,deptId640407,crsName798746,descr384808
crsCode222691,deptId825332,crsName538395,descr205001
crsCode702062,deptId267968,crsName926881,descr727448
crsCode23712,deptId986034,crsName230339,descr345812
crsCode780035,deptId628703,crsName464017,descr575752
crsCode881732,deptId529624,crsName44688,descr150198
crsCode681790,deptId385009,crsName862099,descr769583
crsCode798433,deptId279197,crsName731250,descr828100
crsCode24127,deptId500661,crsName237866,descr986134
crsCode329011,deptId230359,crsName223633,descr501386
crsCode528238,deptId558507,crsName454643,descr780185
crsCode51423,deptId75905,crsName353550,descr614404
crsCode101950,deptId114582,crsName39399,descr573668
crsCode806070,deptId828854,crsName939400,descr407967
crsCode322797,deptId696443,crsName606102,descr201399
crsCode367409,deptId857459,crsName238994,descr13692
crsCode897408,deptId518560,crsName150572,descr47586
crsCode507380,deptId863192,crsName355135,descr578669
crsCode252681,deptId260365,crsName813550,descr258249
crsCode542348,deptId536807,crsName473881,descr115958
crsCode681379,deptId957645,crsName680827,descr55136
crsCode231283,deptId157379,crsName666339,descr566668
crsCode653233,deptId741229,crsName228940,descr688367
crsCode142601,deptId144626,crsName194203,descr637465
crsCode731748,deptId573756,crsName333494,descr806862
crsCode220506,deptId580507,crsName983740,descr919925
crsCode857012,deptId444169,crsName696164,descr656874
crsCode256796,deptId773896,crsName322165,descr35502
crsCode989283,deptId862888,crsName819743,descr494846
crsCode228655,deptId783461,crsName930933,descr768641
crsCode487616,deptId605485,crsName837896,descr129690
crsCode981149,deptId471486,crsName382241,descr285534
crsCode499167,deptId60974,crsName267610,descr892511
crsCode491097,deptId880516,crsName473,descr37927
crsCode328482,deptId56196,crsName913258,descr274625
crsCode912130,deptId577673,crsName944824,descr140528
crsCode880309,deptId461002,crsName746408,descr75395
crsCode189150,deptId423550,crsName851603,descr861056
crsCode852107,deptId935644,crsName449565,descr225469
crsCode216481,deptId911228,crsName247222,descr236111
crsCode601508,deptId829273,crsName701549,descr648025
crsCode147941,deptId737784,crsName237036,descr377926
crsCode281737,deptId418209,crsName12884,descr298257
crsCode170417,deptId461068,crsName987510,descr661633
crsCode310027,deptId508632,crsName587050,descr707187
crsCode516917,deptId28724,crsName803920,descr203215
crsCode339849,deptId240608,crsName640481,descr507805
crsCode505609,deptId756622,crsName877169,descr913328
crsCode635368,deptId242274,crsName520003,descr799360
crsCode209523,deptId907545,crsName427144,descr817750
crsCode774042,deptId898181,crsName459958,descr280928
crsCode39007,deptId417846,crsName108098,descr107812
crsCode357530,deptId342133,crsName338937,descr262673
